Sourceid,Title,Type,Issn,Subject_Category
21100863710,Annual Review of Organizational Psychology and Organizational Behavior,journal,23270608,Social_Psychology
21100838541,Nature Human Behaviour,journal,23973374,Social_Psychology
12812,Personality and Social Psychology Review,journal,"10888683, 15327957",Social_Psychology
30039,Journal of Personality and Social Psychology,journal,00223514,Social_Psychology
18300156710,European Review of Social Psychology,journal,"10463283, 1479277X",Social_Psychology
21100405117,Organizational Psychology Review,journal,"20413866, 20413874",Social_Psychology
15645,Journal of Health and Social Behavior,journal,"00221465, 21506000",Social_Psychology
19400158483,Social Issues and Policy Review,journal,"17512409, 17512395",Social_Psychology
14105,European Journal of Personality,journal,"08902070, 10990984",Social_Psychology
19900193555,Social Psychological and Personality Science,journal,"19485514, 19485506",Social_Psychology
12811,Personality and Social Psychology Bulletin,journal,"01461672, 15527433",Social_Psychology
29561,Journals of Gerontology - Series B Psychological Sciences and Social Sciences,journal,"10795014, 17585368",Social_Psychology
22340,Research on Language and Social Interaction,journal,"08351813, 15327973",Social_Psychology
14946,Group Processes and Intergroup Relations,journal,"14617188, 13684302",Social_Psychology
30022,Journal of Personality,journal,"00223506, 14676494",Social_Psychology
19900192137,Social and Personality Psychology Compass,journal,17519004,Social_Psychology
12776,British Journal of Social Psychology,journal,"01446665, 20448309",Social_Psychology
22861,Political Psychology,journal,"0162895X, 14679221",Social_Psychology
15470,Journal of Environmental Psychology,journal,"02724944, 15229610",Social_Psychology
21100199724,"Qualitative Research in Sport, Exercise and Health",journal,"21596778, 2159676X",Social_Psychology
25680,Journal of Youth and Adolescence,journal,"15736601, 00472891",Social_Psychology
15499,Journal of Experimental Social Psychology,journal,"00221031, 10960465",Social_Psychology
21101019738,Human Behavior and Emerging Technologies,journal,25781863,Social_Psychology
15452,Journal of Counseling Psychology,journal,00220167,Social_Psychology
19841,Social Psychiatry and Psychiatric Epidemiology,journal,"14339285, 09337954",Social_Psychology
12159,Body Image,journal,"17401445, 18736807",Social_Psychology
13453,Learning and Individual Differences,journal,"18733425, 10416080",Social_Psychology
14117,European Journal of Social Psychology,journal,"10990992, 00462772",Social_Psychology
21100903415,Journal of Professional Capital and Community,journal,"20569548, 20569556",Social_Psychology
14871,International Journal of Behavioral Development,journal,"01650254, 14640651",Social_Psychology
18200156707,"Psychological Trauma: Theory, Research, Practice, and Policy",journal,"1942969X, 19429681",Social_Psychology
21101095132,Behavioural Public Policy,journal,"23980648, 2398063X",Social_Psychology
14152,Family Process,journal,"15455300, 00147370",Social_Psychology
20385,Journal of Research in Crime and Delinquency,journal,"1552731X, 00224278",Social_Psychology
20153,AIDS and Behavior,journal,"10907165, 15733254",Social_Psychology
14031,Psychology of Men and Masculinity,journal,"1939151X, 15249220",Social_Psychology
19700176047,"Cyberpsychology, Behavior, and Social Networking",journal,"21522715, 21522723",Social_Psychology
29802,Psychology and Aging,journal,"08827974, 19391498",Social_Psychology
25655,Journal of Adolescence,journal,"10959254, 01401971",Social_Psychology
14230,Cultural Diversity and Ethnic Minority Psychology,journal,"10999809, 19390106",Social_Psychology
21101150129,Affective Science,journal,"2662205X, 26622041",Social_Psychology
30073,Journal of Research in Personality,journal,"00926566, 10957251",Social_Psychology
21100777183,Journal of Family Theory and Review,journal,"17562589, 17562570",Social_Psychology
20654,Journal of Managerial Psychology,journal,02683946,Social_Psychology
25733,Journal of Criminal Justice,journal,00472352,Social_Psychology
19600166326,Mindfulness,journal,"18688535, 18688527",Social_Psychology
12057,Media Psychology,journal,"1532785X, 15213269",Social_Psychology
15564,Journal of Language and Social Psychology,journal,"15526526, 0261927X",Social_Psychology
17700156733,Journal of Consumer Behaviour,journal,"14791838, 14720817",Social_Psychology
12739,New Directions for Child and Adolescent Development,journal,"15348687, 15203247",Social_Psychology
21100378340,Psychosocial Intervention,journal,"11320559, 21734712",Social_Psychology
14798,Sex Roles,journal,"03600025, 15732762",Social_Psychology
19500157063,International Journal of Social Robotics,journal,"18754805, 18754791",Social_Psychology
21100790809,International Review of Social Psychology,journal,23978570,Social_Psychology
13344,Social Psychology of Education,journal,"15731928, 13812890",Social_Psychology
21100886228,Policy Insights from the Behavioral and Brain Sciences,journal,"23727330, 23727322",Social_Psychology
5700161512,Journal of Consumer Culture,journal,"14695405, 17412900",Social_Psychology
12710,Motivation and Emotion,journal,"15736644, 01467239",Social_Psychology
21101055964,Asian Journal of Social Health and Behavior,journal,27724204,Social_Psychology
19700186336,Psychology of Violence,journal,"21520828, 2152081X",Social_Psychology
17562,Social Psychology Quarterly,journal,"01902725, 19398999",Social_Psychology
14818,Small Group Research,journal,"15528278, 10464964",Social_Psychology
14130,Research in Organizational Behavior,journal,01913085,Social_Psychology
22810,British Journal of Criminology,journal,"00070955, 14643529",Social_Psychology
17500155105,Emotion Review,journal,"17540747, 17540739",Social_Psychology
28471,Ageing and Society,journal,"0144686X, 14691779",Social_Psychology
