Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
1;21100838541;"Nature Human Behaviour";journal;"23973374";6,097;Q1;98;263;623;13887;9322;448;13,00;52,80;United Kingdom;Western Europe;"Nature Publishing Group";"2017-2023";"Behavioral Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Social Psychology (Q1)";"Neuroscience; Psychology"
2;15359;"Trends in Cognitive Sciences";journal;"1879307X, 13646613";4,758;Q1;358;135;382;9746;4612;327;10,40;72,19;United Kingdom;Western Europe;"Elsevier Ltd";"1997-2023";"Cognitive Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Neuropsychology and Physiological Psychology (Q1)";"Neuroscience; Psychology"
3;13502;"Developmental Review";journal;"02732297, 10902406";2,808;Q1;116;20;74;3639;621;74;7,31;181,95;United States;Northern America;"Elsevier Inc.";"1981-2023";"Developmental and Educational Psychology (Q1); Education (Q1); Experimental and Cognitive Psychology (Q1); Pediatrics, Perinatology and Child Health (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology; Social Sciences"
4;146223;"Behavior Research Methods";journal;"15543528, 1554351X";2,396;Q1;171;456;525;30631;3823;523;6,44;67,17;United States;Northern America;"Springer Nature";"1968-1983, 2004-2023";"Arts and Humanities (miscellaneous) (Q1); Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q1); Psychology (miscellaneous) (Q1)";"Arts and Humanities; Psychology"
5;12711;"Multivariate Behavioral Research";journal;"00273171, 15327906";2,351;Q1;97;97;187;5043;928;185;5,15;51,99;United States;Northern America;"Psychology Press Ltd";"1966-2023";"Arts and Humanities (miscellaneous) (Q1); Experimental and Cognitive Psychology (Q1); Medicine (miscellaneous) (Q1); Statistics and Probability (Q1)";"Arts and Humanities; Mathematics; Medicine; Psychology"
6;22861;"Political Psychology";journal;"0162895X, 14679221";2,161;Q1;117;83;197;5945;1119;194;5,54;71,63;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1996-2023";"Clinical Psychology (Q1); Experimental and Cognitive Psychology (Q1); Philosophy (Q1); Political Science and International Relations (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Psychology; Social Sciences"
7;22478;"Journal of Memory and Language";journal;"10960821, 0749596X";1,942;Q1;172;38;171;2877;809;168;3,32;75,71;United States;Northern America;"Academic Press Inc.";"1985-2024";"Artificial Intelligence (Q1); Experimental and Cognitive Psychology (Q1); Linguistics and Language (Q1); Neuropsychology and Physiological Psychology (Q1)";"Computer Science; Psychology; Social Sciences"
8;12859;"Cognition and Instruction";journal;"1532690X, 07370008";1,933;Q1;95;16;58;1494;236;58;3,84;93,38;United Kingdom;Western Europe;"Routledge";"1984-2023";"Applied Psychology (Q1); Developmental and Educational Psychology (Q1); Education (Q1); Experimental and Cognitive Psychology (Q1); Psychology (miscellaneous) (Q1)";"Psychology; Social Sciences"
9;15478;"Journal of Experimental Psychology: General";journal;"00963445, 19392222";1,868;Q1;186;177;523;12833;2291;523;3,81;72,50;United States;Northern America;"American Psychological Association";"1975-2023";"Developmental Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Medicine (miscellaneous) (Q1); Psychology (miscellaneous) (Q1)";"Medicine; Neuroscience; Psychology"
10;12127;"Behaviour Research and Therapy";journal;"00057967, 1873622X";1,761;Q1;216;123;421;8355;2017;413;4,48;67,93;United Kingdom;Western Europe;"Elsevier Ltd";"1963-2023";"Clinical Psychology (Q1); Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
11;14062;"Psychonomic Bulletin and Review";journal;"10699384, 15315320";1,753;Q1;179;256;470;17656;2192;467;4,49;68,97;United States;Northern America;"Springer New York";"1994-2023";"Arts and Humanities (miscellaneous) (Q1); Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q1)";"Arts and Humanities; Psychology"
12;7000153204;"Social Cognitive and Affective Neuroscience";journal;"17495024, 17495016";1,635;Q1;125;108;336;8084;1556;334;4,44;74,85;United Kingdom;Western Europe;"Oxford University Press";"2006-2023";"Cognitive Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Medicine (miscellaneous) (Q1)";"Medicine; Neuroscience; Psychology"
13;12857;"Cognition";journal;"18737838, 00100277";1,590;Q1;226;278;909;19470;3434;896;3,34;70,04;Netherlands;Western Europe;"Elsevier B.V.";"1972-1974, 1976-2024";"Cognitive Neuroscience (Q1); Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q1); Linguistics and Language (Q1)";"Neuroscience; Psychology; Social Sciences"
14;21503;"Evolution and Human Behavior";journal;"10905138";1,562;Q1;130;68;179;5190;741;157;3,04;76,32;United States;Northern America;"Elsevier Inc.";"1997-2023";"Arts and Humanities (miscellaneous) (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Experimental and Cognitive Psychology (Q1)";"Agricultural and Biological Sciences; Arts and Humanities; Psychology"
15;12872;"Cognitive Psychology";journal;"10955623, 00100285";1,419;Q1;134;33;83;2784;277;82;3,18;84,36;United States;Northern America;"Academic Press Inc.";"1970-2023";"Artificial Intelligence (Q1); Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q1); Linguistics and Language (Q1); Neuropsychology and Physiological Psychology (Q1)";"Computer Science; Psychology; Social Sciences"
16;14271;"Educational Psychology";journal;"14695820, 01443410";1,333;Q1;84;65;234;3702;863;202;3,56;56,95;United Kingdom;Western Europe;"Routledge";"1981-2023";"Developmental and Educational Psychology (Q1); Education (Q1); Experimental and Cognitive Psychology (Q1)";"Psychology; Social Sciences"
17;14945;"Cortex";journal;"19738102, 00109452";1,330;Q1;138;197;856;14465;3022;778;3,17;73,43;Italy;Western Europe;"Masson SpA";"1964-1965, 1968-2023";"Cognitive Neuroscience (Q1); Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q1); Neurology (Q1); Neurology (clinical) (Q1); Neuropsychology and Physiological Psychology (Q1)";"Medicine; Neuroscience; Psychology"
18;19600166326;"Mindfulness";journal;"18688535, 18688527";1,319;Q1;88;242;749;16301;2921;701;3,69;67,36;Germany;Western Europe;"Springer Verlag";"2010-2023";"Applied Psychology (Q1); Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q1); Health (social science) (Q1); Social Psychology (Q1)";"Psychology; Social Sciences"
19;18747;"Psychophysiology";journal;"00485772, 14698986";1,303;Q1;176;287;620;21871;2430;614;3,42;76,21;United States;Northern America;"John Wiley and Sons Inc.";"1964-2023";"Cognitive Neuroscience (Q1); Developmental and Educational Psychology (Q1); Developmental Neuroscience (Q1); Endocrine and Autonomic Systems (Q1); Experimental and Cognitive Psychology (Q1); Neurology (Q1); Neuropsychology and Physiological Psychology (Q1); Neuroscience (miscellaneous) (Q1); Physiology (Q1); Physiology (medical) (Q1); Biological Psychiatry (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience; Psychology"
